flow_id,session_id,traffic_class,protocol,duration,packet_count,byte_count,feature_valid,label_valid
20260823_164938_other_001_7ffe_flow_00000,20260823_164938_other_001_7ffe,Other,UDP,59.4418,644,224198,TRUE,TRUE
20260823_164938_other_001_7ffe_flow_00001,20260823_164938_other_001_7ffe,Other,UDP,59.4103,587,163521,TRUE,TRUE
20260823_165157_other_001_2876_flow_00000,20260823_165157_other_001_2876,Other,UDP,59.8441,607,328139,TRUE,TRUE
20260823_165157_other_001_2876_flow_00001,20260823_165157_other_001_2876,Other,UDP,59.8444,467,128588,TRUE,TRUE
20260823_165837_other_001_2277_flow_00000,20260823_165837_other_001_2277,Other,UDP,59.7483,764,327210,TRUE,TRUE
20260823_165837_other_001_2277_flow_00001,20260823_165837_other_001_2277,Other,UDP,59.7193,666,207904,TRUE,TRUE
20260823_165837_other_001_2277_flow_00002,20260823_165837_other_001_2277,Other,OTHER,48.5218,6,500,TRUE,TRUE
20260823_165837_other_001_2277_flow_00003,20260823_165837_other_001_2277,Other,UDP,0.8232,10,1862,TRUE,TRUE
20260823_170006_other_001_2088_flow_00000,20260823_170006_other_001_2088,Other,UDP,59.6693,621,260551,TRUE,TRUE
20260823_170006_other_001_2088_flow_00001,20260823_170006_other_001_2088,Other,UDP,59.6719,657,245867,TRUE,TRUE
20260823_170006_other_001_2088_flow_00002,20260823_170006_other_001_2088,Other,OTHER,48.0152,8,672,TRUE,TRUE
20260823_170006_other_001_2088_flow_00003,20260823_170006_other_001_2088,Other,UDP,0.7828,12,3470,TRUE,TRUE
20260823_170113_other_001_b130_flow_00000,20260823_170113_other_001_b130,Other,UDP,59.4991,1492,799430,TRUE,TRUE
20260823_170113_other_001_b130_flow_00001,20260823_170113_other_001_b130,Other,UDP,59.4809,1264,560507,TRUE,TRUE
20260823_170113_other_001_b130_flow_00002,20260823_170113_other_001_b130,Other,OTHER,48.0108,8,672,TRUE,TRUE
20260823_170113_other_001_b130_flow_00003,20260823_170113_other_001_b130,Other,UDP,3.0327,4,848,TRUE,TRUE
20260823_170113_other_001_b130_flow_00004,20260823_170113_other_001_b130,Other,UDP,24.2765,84,6720,TRUE,TRUE
20260823_170113_other_001_b130_flow_00005,20260823_170113_other_001_b130,Other,UDP,24.9359,9,828,TRUE,TRUE
20260823_170113_other_001_b130_flow_00006,20260823_170113_other_001_b130,Other,UDP,0.413,4,296,TRUE,TRUE
20260823_170113_other_001_b130_flow_00007,20260823_170113_other_001_b130,Other,UDP,0.412,4,296,TRUE,TRUE
20260823_170113_other_001_b130_flow_00008,20260823_170113_other_001_b130,Other,UDP,0.4247,4,296,TRUE,TRUE
20260823_170113_other_001_b130_flow_00009,20260823_170113_other_001_b130,Other,UDP,0.41,4,296,TRUE,TRUE
20260823_170113_other_001_b130_flow_00010,20260823_170113_other_001_b130,Other,UDP,0.4235,4,296,TRUE,TRUE
20260823_170113_other_001_b130_flow_00011,20260823_170113_other_001_b130,Other,UDP,0.4244,4,296,TRUE,TRUE
20260823_170113_other_001_b130_flow_00012,20260823_170113_other_001_b130,Other,UDP,0.4239,4,296,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00000,20260823_170246_other_001_fe56,Other,UDP,59.479,600,142128,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00001,20260823_170246_other_001_fe56,Other,UDP,59.5853,597,142632,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00002,20260823_170246_other_001_fe56,Other,UDP,35.8545,36,5962,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00003,20260823_170246_other_001_fe56,Other,TCP,14.5613,9,703,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00004,20260823_170246_other_001_fe56,Other,OTHER,5.0076,10,768,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00005,20260823_170246_other_001_fe56,Other,UDP,0.4221,4,320,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00006,20260823_170246_other_001_fe56,Other,UDP,1.5191,3,276,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00007,20260823_170246_other_001_fe56,Other,UDP,0.4253,4,296,TRUE,TRUE
20260823_170246_other_001_fe56_flow_00008,20260823_170246_other_001_fe56,Other,UDP,0.4249,4,296,TRUE,TRUE
20260823_170352_other_001_facf_flow_00000,20260823_170352_other_001_facf,Other,UDP,58.4127,568,296681,TRUE,TRUE
20260823_170352_other_001_facf_flow_00001,20260823_170352_other_001_facf,Other,UDP,58.3824,448,109356,TRUE,TRUE
20260823_170352_other_001_facf_flow_00002,20260823_170352_other_001_facf,Other,OTHER,5.0115,4,336,TRUE,TRUE
20260823_170352_other_001_facf_flow_00003,20260823_170352_other_001_facf,Other,UDP,0.7764,12,4042,TRUE,TRUE
20260823_170458_other_001_aa7d_flow_00000,20260823_170458_other_001_aa7d,Other,UDP,58.8653,1695,1562079,TRUE,TRUE
20260823_170458_other_001_aa7d_flow_00001,20260823_170458_other_001_aa7d,Other,UDP,58.8353,868,285288,TRUE,TRUE
20260823_170458_other_001_aa7d_flow_00002,20260823_170458_other_001_aa7d,Other,OTHER,43.0207,7,634,TRUE,TRUE
20260823_170458_other_001_aa7d_flow_00003,20260823_170458_other_001_aa7d,Other,UDP,3.0131,4,848,TRUE,TRUE
