flow_id,file_id,session_id,data_origin,flow_duration,forward_packet_count,backward_packet_count,total_packet_count,forward_bytes,backward_bytes,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packet_size_variance,mean_iat,median_iat,iat_std,min_iat,max_iat,fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,burst_count,avg_burst_bytes,avg_burst_packets,protocol,dst_port,tls_version,tls_cipher_suites_count,tls_extensions_count,tls_sni_present,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,dataset_version
20260823_154613_video_001_c9ea_flow_00000,real_20260823_154613_video_001_c9ea,20260823_154613_video_001_c9ea,real,59.66443204879761,10530,0,10530,13298703,0,13298703,1262.9347578347579,88.0,1372.0,113997.80894383974,0.005666676042245,0.0,0.060053620164972676,0.0,1.9338598251342773,10530.0,13298703.0,9,1477633.6666666667,1170.0,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_netflix_4k,v2
20260823_154613_video_001_c9ea_flow_00001,real_20260823_154613_video_001_c9ea,20260823_154613_video_001_c9ea,real,58.69320607185364,1864,0,1864,403315,0,403315,216.37070815450645,84.0,1381.0,63782.15924928392,0.03150467314645928,0.0003399848937988281,0.13885243495961785,1.6927719116210938e-05,1.9208121299743652,1864.0,403315.0,9,44812.77777777778,207.11111111111111,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_netflix_4k,v2
20260823_154721_video_001_0564_flow_00000,real_20260823_154721_video_001_0564,20260823_154721_video_001_0564,real,59.952778816223145,16835,0,16835,21867711,0,21867711,1298.9433323433323,88.0,1372.0,76828.73097351087,0.0035614101708579746,0.0,0.047535937419904105,0.0,1.9807639122009277,16835.0,21867711.0,9,2429745.6666666665,1870.5555555555557,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_dailymotion_sd,v2
20260823_154721_video_001_0564_flow_00001,real_20260823_154721_video_001_0564,20260823_154721_video_001_0564,real,59.90787100791931,2339,0,2339,437684,0,437684,187.124412141941,84.0,1365.0,37845.989224483405,0.02562355475103478,0.00033104419708251953,0.1262164488061245,1.9073486328125e-05,1.9947519302368164,2339.0,437684.0,10,43768.4,233.9,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_dailymotion_sd,v2
20260823_154851_video_001_b4dc_flow_00000,real_20260823_154851_video_001_b4dc,20260823_154851_video_001_b4dc,real,59.23510813713074,849,0,849,172397,0,172397,203.05889281507655,84.0,1370.0,45734.905836701124,0.06985272185982398,0.0008029937744140625,0.25688042224570545,2.288818359375e-05,2.9430038928985596,849.0,172397.0,12,14366.416666666666,70.75,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_vimeo_720p,v2
20260823_154851_video_001_b4dc_flow_00001,real_20260823_154851_video_001_b4dc,20260823_154851_video_001_b4dc,real,59.233311891555786,2341,0,2341,2455253,0,2455253,1048.805211448099,88.0,1372.0,284724.271326963,0.025313381150237516,0.0,0.15777608313540628,0.0,2.9481661319732666,2341.0,2455253.0,12,204604.41666666666,195.08333333333334,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_vimeo_720p,v2
20260823_155010_video_001_c5d9_flow_00000,real_20260823_155010_video_001_c5d9,20260823_155010_video_001_c5d9,real,59.72925305366516,10403,0,10403,12627013,0,12627013,1213.785734884168,88.0,1373.0,158841.71963885965,0.005742093160321589,0.0,0.05077733033555009,0.0,2.5419600009918213,10403.0,12627013.0,7,1803859.0,1486.142857142857,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_netflix_4k,v2
20260823_155010_video_001_c5d9_flow_00001,real_20260823_155010_video_001_c5d9,20260823_155010_video_001_c5d9,real,59.72898483276367,2237,0,2237,534264,0,534264,238.83057666517658,84.0,1365.0,78571.52560954678,0.026712426132720783,0.0004875659942626953,0.10753434494408873,1.4066696166992188e-05,2.5258541107177734,2237.0,534264.0,7,76323.42857142857,319.57142857142856,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_netflix_4k,v2
20260823_155216_video_001_1ce3_flow_00000,real_20260823_155216_video_001_1ce3,20260823_155216_video_001_1ce3,real,59.36321187019348,446,0,446,109092,0,109092,244.60089686098655,84.0,1381.0,125881.28466287279,0.13340047611279435,0.03158998489379883,0.2648041621541281,2.5033950805664062e-05,2.1933488845825195,446.0,109092.0,11,9917.454545454546,40.54545454545455,UDP,443,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_dailymotion_sd,v2
20260823_155216_video_001_1ce3_flow_00001,real_20260823_155216_video_001_1ce3,20260823_155216_video_001_1ce3,real,59.37305808067322,490,0,490,146070,0,146070,298.1020408163265,88.0,1365.0,165086.40591420242,0.12141729668849328,0.0314791202545166,0.2509975725920105,0.0,2.193429946899414,490.0,146070.0,10,14607.0,49.0,UDP,52783,UNKNOWN,0,0,0,Video,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,vid_dailymotion_sd,v2
20260823_155349_messaging_001_f90a_flow_00000,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,58.8915479183197,5994,0,5994,7166648,0,7166648,1195.6369703036369,88.0,1372.0,177782.76877667345,0.009826722495965242,0.0,0.07074766510180243,0.0,1.7414629459381104,5994.0,7166648.0,10,716664.8,599.4,UDP,52783,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_whatsapp_web,v2
20260823_155349_messaging_001_f90a_flow_00001,real_20260823_155349_messaging_001_f90a,20260823_155349_messaging_001_f90a,real,58.84455609321594,1313,0,1313,275552,0,275552,209.86443259710586,84.0,1365.0,65962.21315232466,0.0448510336076341,0.0005426406860351562,0.1469492585600607,1.5020370483398438e-05,1.7084839344024658,1313.0,275552.0,10,27555.2,131.3,UDP,443,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_whatsapp_web,v2
20260823_155823_messaging_001_2056_flow_00000,real_20260823_155823_messaging_001_2056,20260823_155823_messaging_001_2056,real,58.06515979766846,6411,0,6411,1392046,0,1392046,217.13398845733894,84.0,1363.0,22435.845874889274,0.00905852726952706,0.0001850128173828125,0.05530631552449785,1.2874603271484375e-05,1.4351608753204346,6411.0,1392046.0,5,278409.2,1282.2,UDP,443,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_slack_chat,v2
20260823_155823_messaging_001_2056_flow_00001,real_20260823_155823_messaging_001_2056,20260823_155823_messaging_001_2056,real,58.07958388328552,45844,0,45844,60014892,0,60014892,1309.1111595846785,88.0,1372.0,65224.8503954881,0.001266923715360808,0.0,0.020623726543727666,0.0,1.435142993927002,45844.0,60014892.0,5,12002978.4,9168.8,UDP,52783,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_slack_chat,v2
20260823_160152_messaging_001_2144_flow_00000,real_20260823_160152_messaging_001_2144,20260823_160152_messaging_001_2144,real,58.81194615364075,1950,0,1950,418274,0,418274,214.49948717948718,84.0,1365.0,58278.68076896777,0.030175446974674575,0.00031185150146484375,0.12263615464290256,1.4066696166992188e-05,1.534290075302124,1950.0,418274.0,5,83654.8,390.0,UDP,443,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_discord_text,v2
20260823_160152_messaging_001_2144_flow_00001,real_20260823_160152_messaging_001_2144,20260823_160152_messaging_001_2144,real,58.78150701522827,12738,0,12738,16332607,0,16332607,1282.1955566022923,88.0,1372.0,93536.69460421603,0.004615019786074293,0.0,0.04843582220498651,0.0,1.5002648830413818,12738.0,16332607.0,4,4083151.75,3184.5,UDP,52783,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_discord_text,v2
20260823_160304_messaging_001_b4de_flow_00000,real_20260823_160304_messaging_001_b4de,20260823_160304_messaging_001_b4de,real,59.623162031173706,2182,0,2182,483350,0,483350,221.51695692025663,84.0,1365.0,47452.606266083385,0.027337534172936134,0.00025200843811035156,0.12724937676719442,1.5020370483398438e-05,2.178065061569214,2182.0,483350.0,10,48335.0,218.2,UDP,443,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_slack_chat,v2
20260823_160304_messaging_001_b4de_flow_00001,real_20260823_160304_messaging_001_b4de,20260823_160304_messaging_001_b4de,real,59.57654809951782,13172,0,13172,16727776,0,16727776,1269.9495900394777,88.0,1372.0,106213.83453748756,0.004523312436376724,0.0,0.051940182609963456,0.0,2.134989023208618,13172.0,16727776.0,9,1858641.7777777778,1463.5555555555557,UDP,52783,UNKNOWN,0,0,0,Messaging,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,msg_slack_chat,v2
